21.805,22.59,6.52,26.596,15.485,9.135,17.229,7.04,9.521,8.251,10.071,14.2,7.324,15.152,21.447,11.59,9.62,8.745,9.734,6.72,141.98,13.35,30.888,18.555,26.401,44.365,7.288,25.467,18.474,29.731,6.05,9.291,8.649,17.13
21.508,23.37,6.525,27.035,15.188,8.686,17.249,7.04,9.422,8.331,9.992,14.34,7.371,15.198,21.287,11.8,9.75,8.883,9.983,6.66,141.77,13.35,31.004,18.555,26.04,43.897,7.19,25.613,18.616,29.282,5.9,9.273,8.659,17.299
21.617,23.14,6.55,27.035,15.108,8.791,17.587,7.04,9.372,8.281,9.992,14.32,7.295,15.152,20.698,11.8,9.601,9.071,10.072,6.87,142.08,13.35,30.92,18.575,26.99,43.051,7.205,25.344,18.641,29.512,5.83,9.319,8.659,17.349
22.004,23.12,6.935,26.606,15.221,8.881,17.338,7.04,9.322,8.271,10.031,14.43,7.544,15.185,20.388,11.67,9.79,9.338,10.63,6.92,143.26,13.35,31.749,18.803,27.73,43.479,7.283,25.628,19.073,30.288,5.91,9.31,8.668,17.827
21.706,23.15,6.865,26.426,15.54,8.971,16.961,7.74,9.207,8.351,10.1,14.32,7.371,15.291,20.808,12,9.77,9.318,11.46,6.84,143.32,13.35,31.776,18.754,27.56,43.19,7.2,25.221,18.807,30.249,5.86,9.282,8.668,17.269
21.18,22.77,6.925,26.237,14.23,8.861,16.901,8.51,9.317,8.481,10.031,14.19,7.382,15.078,21.087,11.92,9.65,9.388,11.25,6.87,144.16,13.35,31.179,18.674,25.34,42.05,7.146,25.114,18.774,31.07,5.82,9.291,8.649,16.841
22.063,22.95,7.045,26.486,14.28,8.826,16.693,9.36,9.611,8.989,10.278,14.36,8.122,14.918,22.497,11.91,9.78,9.902,11.25,6.74,142.18,13.35,30.892,18.674,26.3,41.5,7.18,25.221,18.724,31.01,5.82,9.245,8.649,17.778
21.805,22.16,6.855,26.576,14.11,9.235,16.563,10.07,9.482,8.69,9.953,14.37,8.287,14.719,23.146,11.91,9.63,10.011,10.8,6.74,141.24,13.35,30.681,18.674,26.7,40.79,7.039,24.307,18.815,29.56,6.12,9.097,8.525,17.1
22.182,22.14,6.9,24.93,13.55,9.425,15.987,10.3,9.825,8.76,9.972,14.5,8.234,14.319,22.836,11.9,9.5,9.763,10.79,6.74,141.04,13.35,30.617,19.648,26.4,40.3,6.946,24.292,18.907,29.74,6.38,9.078,8.525,17.26
21.458,22.36,6.68,24.691,13.66,9.69,16.126,10.03,9.965,8.85,10.1,14.64,8.093,14.446,22.487,11.76,9.6,10.04,10.55,6.74,141.87,13.35,30.669,19.429,26.77,40,6.922,24.515,18.782,29.91,6.58,9.106,8.544,17.97
